x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,score,action
0.15397624671459198,1.919511079788208,0.3718763589859009,-0.052557725459337234,-1.9332252740859985,-1.8110249042510986,0.0,0.0,-235.54614806469328,3
0.1580248773097992,1.9194066524505615,0.3679690361022949,-0.06218511611223221,-2.025880813598633,-1.853118896484375,0.0,0.0,-244.62554303896903,3
0.1621062308549881,1.9190518856048584,0.3621882498264313,-0.07214965671300888,-2.120912551879883,-1.900648832321167,0.0,0.0,-253.76909037377914,3
0.16620416939258575,1.9184226989746094,0.35435906052589417,-0.0826931819319725,-2.218719482421875,-1.9561512470245361,0.0,0.0,-263.0095480276406,3
0.17032460868358612,1.917544960975647,0.347538560628891,-0.09084600955247879,-2.3184547424316406,-1.9947185516357422,0.0,0.0,-272.4952535251927,3
0.174458310008049,1.9163925647735596,0.33979228138923645,-0.09950412809848785,-2.4203944206237793,-2.0388076305389404,0.0,0.0,-282.1260733761423,3
0.17860230803489685,1.914976954460144,0.3323827385902405,-0.10665670782327652,-2.524099588394165,-2.074108123779297,0.0,0.0,-291.9250398880417,3
0.18274755775928497,1.9132920503616333,0.32466140389442444,-0.11329718679189682,-2.629512310028076,-2.1082677841186523,0.0,0.0,-301.8461702592552,3
0.18688353896141052,1.9113322496414185,0.3166024088859558,-0.11946658790111542,-2.736607551574707,-2.1419177055358887,0.0,0.0,-311.8834126944209,3
0.1909983605146408,1.9091041088104248,0.3083377182483673,-0.12461401522159576,-2.845271587371826,-2.1733005046844482,0.0,0.0,-322.0160509339491,3
0.1950579583644867,1.9065735340118408,0.2969927489757538,-0.13076016306877136,-2.956225633621216,-2.219099283218384,0.0,0.0,-332.1242610774297,3
0.19907216727733612,1.903767704963684,0.28850847482681274,-0.13492009043693542,-3.068739891052246,-2.2503066062927246,0.0,0.0,-342.567221290449,3
0.2030043601989746,1.9006820917129517,0.2771121561527252,-0.13881675899028778,-3.1834068298339844,-2.2933621406555176,0.0,0.0,-352.94240217822534,3
0.20686665177345276,1.8973232507705688,0.2691177725791931,-0.14193195104599,-3.2995641231536865,-2.323167085647583,0.0,0.0,-363.72704364359873,3
0.21061745285987854,1.8937158584594727,0.2578296363353729,-0.14360079169273376,-3.4179675579071045,-2.368093729019165,0.0,0.0,-374.366955882491,3
0.21425695717334747,1.889854907989502,0.24874749779701233,-0.14527839422225952,-3.5382308959960938,-2.405290126800537,0.0,0.0,-385.37441147997237,3
0.2177617996931076,1.885767936706543,0.23887057602405548,-0.14556169509887695,-3.6607284545898438,-2.44997501373291,0.0,0.0,-396.45424801518317,3
0.2211160659790039,1.88148832321167,0.22917835414409637,-0.1442984938621521,-3.7857606410980225,-2.500670909881592,0.0,0.0,-407.7107149069746,3
0.22430220246315002,1.8770211935043335,0.21989719569683075,-0.14297930896282196,-3.9133427143096924,-2.5516693592071533,0.0,0.0,-419.2399086341365,3
0.22733621299266815,1.87238347530365,0.21481840312480927,-0.14158497750759125,-4.042928218841553,-2.591742992401123,0.0,0.0,-431.3030040838742,3
0.2301955223083496,1.867598056793213,0.20940430462360382,-0.13976708054542542,-4.174762725830078,-2.6367249488830566,0.0,0.0,-443.5245091921367,3
0.23288115859031677,1.8626919984817505,0.2061866968870163,-0.13774153590202332,-4.3087358474731445,-2.6795051097869873,0.0,0.0,-456.1179660594369,3
0.2353910505771637,1.857710361480713,0.2045750617980957,-0.1346759796142578,-4.445147514343262,-2.728276014328003,0.0,0.0,-469.02247289226267,3
0.2377202957868576,1.8526935577392578,0.20424851775169373,-0.13106776773929596,-4.584193229675293,-2.78127121925354,0.0,0.0,-482.26483269223655,3
0.2398640662431717,1.8476628065109253,0.2049601972103119,-0.12843336164951324,-4.7254743576049805,-2.827934503555298,0.0,0.0,-495.87046125412,3
0.2418326437473297,1.8426591157913208,0.20792348682880402,-0.12566739320755005,-4.869178771972656,-2.876739740371704,0.0,0.0,-509.907617132369,3
