x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,magnitude_velocity,abs_x_disp,abs_angle,reward,action
-0.006029891781508923,1.416282296180725,-0.6107827425003052,0.2383052557706833,0.006993988063186407,0.13835158944129944,0,0,0.6556256139514183,0.006029891781508923,0.006993988063186407,-1.018113792594022,0
-0.012060356326401234,1.4215699434280396,-0.6099566221237183,0.23495489358901978,0.013830556534230709,0.13674449920654297,0,0,0.6536442932678155,0.012060356326401234,0.013830556534230709,-1.0576229725623136,0
-0.01809101179242134,1.426761507987976,-0.6099781394004822,0.23065978288650513,0.020663058385252953,0.13666251301765442,0,0,0.6521328568061125,0.01809101179242134,0.020663058385252953,-1.0515930162075904,0
-0.024121951311826706,1.431856632232666,-0.6099982261657715,0.22633232176303864,0.02749467082321644,0.13664506375789642,0,0,0.6506336663041838,0.024121951311826706,0.02749467082321644,-1.0468877363003344,0
-0.03015298768877983,1.4368549585342407,-0.6100181937217712,0.22200699150562286,0.03432520478963852,0.136623352766037,0,0,0.6491604646852501,0.03015298768877983,0.03432520478963852,-1.0421464805025096,0
-0.03618431091308594,1.4417567253112793,-0.6100383400917053,0.21768203377723694,0.04115463048219681,0.13660135865211487,0,0,0.6477130841947716,0.03618431091308594,0.04115463048219681,-1.0373479683481435,0
-0.042215920984745026,1.4465618133544922,-0.6100583076477051,0.21335701644420624,0.04798298329114914,0.13657981157302856,0,0,0.6462912371850453,0.042215920984745026,0.04798298329114914,-1.0325575327615582,0
-0.04824771732091904,1.451270341873169,-0.6100782155990601,0.2090318202972412,0.05481024831533432,0.13655802607536316,0,0,0.644895138755313,0.04824771732091904,0.05481024831533432,-1.0277704589663017,0
-0.05427970737218857,1.4558823108673096,-0.6100980043411255,0.20470644533634186,0.061636440455913544,0.1365363895893097,0,0,0.64352488702016,0.05427970737218857,0.061636440455913544,-1.0229718524373368,0
-0.06031189113855362,1.460397720336914,-0.6101177334785461,0.20038090646266937,0.06846155226230621,0.1365147978067398,0,0,0.6421807866546124,0.06031189113855362,0.06846155226230621,-1.018163947340895,0
-0.06634445488452911,1.4648164510726929,-0.6101373434066772,0.19605520367622375,0.07528559863567352,0.1364932656288147,0,0,0.6408628626924651,0.06634445488452911,0.07528559863567352,-1.0133557873076597,0
-0.07237730175256729,1.4691383838653564,-0.6101568341255188,0.191729336977005,0.08210857957601547,0.13647179305553436,0,0,0.639571346849912,0.07237730175256729,0.08210857957601547,-1.0085463296280182,0
-0.07841034233570099,1.4733637571334839,-0.6101762056350708,0.18740329146385193,0.08893048763275146,0.1364504098892212,0,0,0.6383063527357217,0.07841034233570099,0.08893048763275146,-1.0037600535495983,0
-0.08444356918334961,1.4774925708770752,-0.610195517539978,0.18307706713676453,0.0957513079047203,0.136429101228714,0,0,0.6370681085091731,0.08444356918334961,0.0957513079047203,-0.9989530451851181,0
-0.09047708660364151,1.4815248250961304,-0.6102145910263062,0.178750678896904,0.10257108509540558,0.13640786707401276,0,0,0.6358566298368715,0.09047708660364151,0.10257108509540558,-0.9941703666704882,0
-0.0965108871459961,1.4854604005813599,-0.6102336645126343,0.17442414164543152,0.10938979685306549,0.1363867223262787,0,0,0.6346722812978578,0.0965108871459961,0.10938979685306549,-0.9893402382527654,0
-0.1025448814034462,1.4892990589141846,-0.6102526187896729,0.1700974404811859,0.11620746552944183,0.1363656371831894,0,0,0.6335151209648706,0.1025448814034462,0.11620746552944183,-0.9845564170201442,0
-0.10857915878295898,1.4930411577224731,-0.6102713942527771,0.16577057540416718,0.12302408367395401,0.13634464144706726,0,0,0.6323852273973987,0.10857915878295898,0.12302408367395401,-0.9797688236959061,0
-0.11461372673511505,1.4966864585876465,-0.6102901101112366,0.1614435464143753,0.12983965873718262,0.1363237351179123,0,0,0.6312828414229961,0.11461372673511505,0.12983965873718262,-0.974982319064452,0
-0.1206485778093338,1.5002351999282837,-0.6103086471557617,0.1571163535118103,0.13665419816970825,0.1363028734922409,0,0,0.6302080601042689,0.1206485778093338,0.13665419816970825,-0.9702094444148202,0
-0.12668351829051971,1.5036872625350952,-0.6103270053863525,0.15278898179531097,0.14346769452095032,0.13628213107585907,0,0,0.629160953857894,0.12668351829051971,0.14346769452095032,-0.9654356285103916,0
-0.1327187567949295,1.507042646408081,-0.6103452444076538,0.1484615057706833,0.1502801477909088,0.1362614780664444,0,0,0.6281418034218019,0.1327187567949295,0.1502801477909088,-0.9606753298432125,0
-0.13875427842140198,1.5103013515472412,-0.6103633642196655,0.14413383603096008,0.15709158778190613,0.1362408846616745,0,0,0.6271506975644665,0.13875427842140198,0.15709158778190613,-0.9559168825403503,0
-0.14479008316993713,1.5134633779525757,-0.6103813052177429,0.13980601727962494,0.16390199959278107,0.13622036576271057,0,0,0.6261877218562657,0.14479008316993713,0.16390199959278107,-0.9511775921928063,0
-0.15082617104053497,1.516528844833374,-0.6103991270065308,0.13547803461551666,0.17071139812469482,0.13619989156723022,0,0,0.6252530539345392,0.15082617104053497,0.17071139812469482,-0.941419165103099,0
-0.15685471892356873,1.51948881149292,-0.6100583076477051,0.13070757687091827,0.1779223382472992,0.1442226767539978,0,0,0.6239035286713867,0.15685471892356873,0.1779223382472992,-0.9396999626830507,0
-0.16288861632347107,1.5223398208618164,-0.6101750135421753,0.12588699162006378,0.18473097681999207,0.1361730843782425,0,0,0.6230257562866862,0.16288861632347107,0.18473097681999207,-0.9339711020674315,0
-0.1689225137233734,1.5250942707061768,-0.6101739406585693,0.1215631514787674,0.19153958559036255,0.13617262244224548,0,0,0.6221654510806363,0.1689225137233734,0.19153958559036255,-0.9293796730719635,0
-0.17495660483837128,1.527752161026001,-0.6101728677749634,0.11723931133747101,0.19834820926189423,0.1361723095178604,0,0,0.6213340534324048,0.17495660483837128,0.19834820926189423,-0.9247934553091284,0
-0.18099069595336914,1.530313491821289,-0.6101716756820679,0.11291548609733582,0.2051568180322647,0.13617205619812012,0,0,0.6205315354530948,0.18099069595336914,0.2051568180322647,-0.9202209123669718,0
-0.18702498078346252,1.532778263092041,-0.6101704835891724,0.10859165340662003,0.2119654268026352,0.13617205619812012,0,0,0.6197581535917096,0.18702498078346252,0.2119654268026352,-0.9156603944732069,0
-0.19305925071239471,1.5351464748382568,-0.6101692914962769,0.10426782816648483,0.21877402067184448,0.13617156445980072,0,0,0.6190139929818299,0.19305925071239471,0.21877402067184448,-0.9110916541602592,0
-0.19909362494945526,1.537418007850647,-0.6101680994033813,0.09994400292634964,0.22558258473873138,0.1361711323261261,0,0,0.6182992073326082,0.19909362494945526,0.22558258473873138,-0.9065480154081911,0
-0.20512814819812775,1.539592981338501,-0.6101667881011963,0.09562019258737564,0.2323911041021347,0.1361706554889679,0,0,0.6176137538720613,0.20512814819812775,0.2323911041021347,-0.9020231781130121,0
-0.2111627608537674,1.5416713953018188,-0.6101654767990112,0.09129639714956284,0.23919960856437683,0.13617020845413208,0,0,0.6169578028242274,0.2111627608537674,0.23919960856437683,-0.8975056786348716,0
